#{"t_start": 1703840839.9341729, "env_id": "None"}
r,l,t
-0.006,6,9.473726
0.995,8,9.482935
0.995,8,9.491994
-0.006,6,9.49926
0.995,8,9.508335
0.995,8,9.517372
-0.006,6,9.524863
0.995,8,9.533978
0.995,8,9.54305
0.995,8,9.552377
0.995,8,9.562251
-0.006,6,9.570085
-0.006,6,9.578024
-0.006,6,9.58564
-0.006,6,9.593686
0.995,8,9.602798
0.995,8,9.613228
-0.006,6,9.620494
0.995,8,9.631617
0.995,8,9.641456
0.995,8,9.654548
-0.006,6,9.66215
0.995,8,9.672029
0.995,8,9.681805
-0.006,6,9.68955
-0.006,6,9.697799
-0.006,6,9.705414
0.995,8,9.715321
-0.006,6,9.723234
0.995,8,9.73338
0.995,8,9.743221
0.995,8,9.75298
0.995,8,9.762701
-0.006,6,9.770444
0.995,8,9.780699
0.995,8,9.790938
-0.006,6,9.798668
-0.006,6,9.806216
0.995,8,9.816027
0.995,8,9.826
0.995,8,9.835529
0.995,8,9.864968
-0.006,6,9.873754
-0.006,6,9.882422
0.995,8,9.8926
-0.006,6,9.899811
-0.006,6,9.907521
-0.006,6,9.915194
0.995,8,9.924507
0.995,8,9.93369
0.995,8,9.942778
-0.006,6,9.950026
0.995,8,9.959149
-0.006,6,9.966346
0.995,8,9.975516
0.995,8,9.984585
0.995,8,9.993828
0.995,8,10.003097
-0.006,6,10.010355
0.995,8,10.019955
0.995,8,10.029617
0.995,8,10.039341
0.995,8,10.049656
-0.006,6,10.059283
0.995,8,10.069375
0.995,8,10.080611
0.995,8,10.091037
0.995,8,10.10145
-0.006,6,10.109486
-0.006,6,10.117183
0.995,8,10.126854
0.995,8,10.136802
0.995,8,10.148863
-0.006,6,10.157767
0.995,8,11.070414
0.995,8,11.080889
0.995,8,11.090845
0.995,8,11.100658
0.995,8,11.110817
0.995,8,11.12046
0.995,8,11.130216
0.995,8,11.140481
-0.006,6,11.150745
0.995,8,11.161721
0.995,8,11.172004
0.995,8,11.182101
0.995,8,11.192167
0.995,8,11.201788
0.995,8,11.211578
0.995,8,11.221295
-0.006,6,11.229614
0.995,8,11.239493
0.995,8,11.249134
-0.006,6,11.256763
0.995,8,11.266281
0.995,8,11.276129
0.995,8,11.285376
0.995,8,11.294532
-0.006,6,11.301465
-0.006,6,11.308396
-0.006,6,11.315608
0.995,8,11.324307
0.995,8,11.333234
0.995,8,11.341994
0.995,8,11.351088
0.995,8,11.360161
0.995,8,11.369266
0.995,8,11.38058
-0.006,6,11.389643
0.995,8,11.399661
0.995,8,11.409701
0.995,8,11.4223
0.995,8,11.433747
-0.006,6,11.442346
0.995,8,11.453671
0.995,8,11.463897
0.995,8,11.473716
0.995,8,11.483642
0.995,8,11.493112
