#{"t_start": 1705144753.2988002, "env_id": "None"}
r,l,t
0.9982,21,12.95591
-0.002,20,12.970293
-0.002,20,12.983899
-0.002,20,12.997197
-0.002,20,13.010795
0.9982,21,13.025065
-0.002,20,13.06386
-0.002,20,13.079946
0.9983,21,13.095226
-0.002,20,13.110633
0.9985,21,13.125372
-0.002,20,13.140024
0.9985,21,13.154666
0.9983,21,13.168906
0.9983,21,13.182869
0.9985,21,13.196941
-0.002,20,13.210366
0.9983,21,13.224624
0.9984,21,13.23856
0.9984,21,13.252404
-0.002,20,13.265841
-0.002,20,13.279789
-0.002,20,13.293064
0.9983,21,13.306687
0.9985,21,13.320115
0.9985,21,13.333991
-0.002,20,13.34781
0.9981,21,13.361465
-0.002,20,13.374602
0.9984,21,13.38833
-0.002,20,13.401889
-0.002,20,13.415204
0.9983,21,13.42874
-0.002,20,13.44254
-0.002,20,13.455849
0.9985,21,13.469775
0.9984,21,13.483701
-0.002,20,13.497191
-0.002,20,13.510626
0.9981,21,13.524646
0.9985,21,13.538385
-0.002,20,13.551732
-0.002,20,13.565613
-0.002,20,13.578971
0.9985,21,13.592659
-0.002,20,13.606767
0.9985,21,13.620666
-0.002,20,13.634038
0.9985,21,13.648106
-0.002,20,13.661606
0.9985,21,13.67556
-0.002,20,13.688472
0.9983,21,13.701765
0.9983,21,13.715874
0.9982,21,13.72908
-0.002,20,13.742057
0.9985,21,13.755486
0.9983,21,13.769114
-0.002,20,13.782377
0.9985,21,13.795813
-0.002,20,13.809018
-0.002,20,13.822499
-0.002,20,13.835912
-0.002,20,13.848799
0.9981,21,13.862427
0.9981,21,13.875671
-0.002,20,13.888221
0.9984,21,13.901156
-0.002,20,13.91379
-0.002,20,13.926673
0.9985,21,13.93954
0.9983,21,13.952691
-0.002,20,13.965469
0.9985,21,13.978496
0.9984,21,13.991696
0.9985,21,14.004623
-0.002,20,14.017369
-0.002,20,14.030217
0.9983,21,14.043133
-0.002,20,14.055788
-0.002,20,14.06861
0.9985,21,14.099454
-0.002,20,14.112387
0.9983,21,14.125414
0.9985,21,14.138325
0.9985,21,14.151837
-0.002,20,14.164691
-0.002,20,14.177572
0.9985,21,14.190678
-0.002,20,14.203607
0.9984,21,14.216715
0.9983,21,14.229897
0.9983,21,14.243754
0.9984,21,14.257881
0.9985,21,14.271293
0.9981,21,14.284135
-0.002,20,14.296864
0.9983,21,14.309828
-0.002,20,14.32251
0.9983,21,14.335287
-0.002,20,14.34806
0.9983,21,14.361258
-0.002,20,14.374123
-0.002,20,14.387513
0.9981,21,14.402461
-0.002,20,14.416472
-0.002,20,14.430223
-0.002,20,14.443909
-0.002,20,14.457579
0.9985,21,14.471582
-0.002,20,14.485307
-0.002,20,14.500052
0.9985,21,14.514022
0.9981,21,14.528116
0.9983,21,14.54188
0.9983,21,14.555714
-0.002,20,14.569235
-0.002,20,14.582806
0.9981,21,14.596272
-0.002,20,14.609755
0.9984,21,14.623652
0.9985,21,14.638443
0.9985,21,14.652346
0.9985,21,14.666617
-0.002,20,14.679971
-0.002,20,14.693114
0.9983,21,14.706742
0.9983,21,14.720587
0.9985,21,14.734238
0.9981,21,14.747809
0.9985,21,14.761135
0.9985,21,14.774433
0.9984,21,14.788378
-0.002,20,14.801938
0.9983,21,14.815718
0.9982,21,14.82974
0.9985,21,14.843153
-0.002,20,14.856269
0.9981,21,14.869821
-0.002,20,14.882928
-0.002,20,14.895992
0.9985,21,14.910498
-0.002,20,14.924232
0.9984,21,14.938902
0.9983,21,14.952925
0.9984,21,14.967082
0.9983,21,14.980694
0.9981,21,14.994218
-0.002,20,15.007412
0.9985,21,15.020784
0.9985,21,15.034385
-0.002,20,15.047986
0.9985,21,15.062645
0.9983,21,15.076201
-0.002,20,15.08914
0.9981,21,15.102419
-0.002,20,15.133751
-0.002,20,15.147532
0.9985,21,15.160814
-0.002,20,15.173985
-0.002,20,15.187675
-0.002,20,15.20101
-0.002,20,15.21449
0.9985,21,15.227934
0.9981,21,15.241201
-0.002,20,15.254084
-0.002,20,15.266928
-0.002,20,15.279855
-0.002,20,15.293017
-0.002,20,15.306639
0.9983,21,15.32081
0.9984,21,15.334609
-0.002,20,15.347959
-0.002,20,15.361836
-0.002,20,15.375388
0.9985,21,15.389354
0.9985,21,15.402611
-0.002,20,15.415621
0.9985,21,15.428811
-0.002,20,15.442809
0.9983,21,15.456299
0.9983,21,15.469813
0.9982,21,15.483717
-0.002,20,15.497717
-0.002,20,15.511301
-0.002,20,15.524685
0.9983,21,15.538152
-0.002,20,15.55116
-0.002,20,15.56411
0.9984,21,15.577546
-0.002,20,15.590818
-0.002,20,15.604592
-0.002,20,15.617988
0.9985,21,15.631679
0.9985,21,15.644853
0.9983,21,15.658296
-0.002,20,15.671357
-0.002,20,15.684317
0.9983,21,15.698036
0.9985,21,15.712827
-0.002,20,15.726457
-0.002,20,15.739558
-0.002,20,15.752779
-0.002,20,15.765988
-0.002,20,15.779195
-0.002,20,15.792657
0.9984,21,15.806266
-0.002,20,15.820151
-0.002,20,15.833277
-0.002,20,15.846302
0.9982,21,15.859328
-0.002,20,15.872008
0.9981,21,15.885426
0.9985,21,15.898811
-0.002,20,15.912029
-0.002,20,15.925289
0.9984,21,15.938958
-0.002,20,15.952194
0.9985,21,15.965492
0.9984,21,15.979388
-0.002,20,15.993555
0.9985,21,16.007377
0.9985,21,16.020577
0.9985,21,16.033747
-0.002,20,16.046596
0.9984,21,16.059832
0.9985,21,16.072983
-0.002,20,16.08598
0.9985,21,16.099788
-0.002,20,16.113536
-0.002,20,16.126978
-0.002,20,16.140086
0.9984,21,16.166132
-0.002,20,16.179295
-0.002,20,16.192615
-0.002,20,16.206509
-0.002,20,16.219793
0.9983,21,16.233281
-0.002,20,16.247048
-0.002,20,16.261124
0.9985,21,16.275092
-0.002,20,16.288419
0.9985,21,16.301903
-0.002,20,16.315138
0.9985,21,16.32853
-0.002,20,16.34176
-0.002,20,16.355246
0.9983,21,16.368948
-0.002,20,16.382501
-0.002,20,16.396318
-0.002,20,16.409685
0.9985,21,16.423265
-0.002,20,16.436654
-0.002,20,16.449786
-0.002,20,16.463453
-0.002,20,16.477461
0.9983,21,16.491335
-0.002,20,16.504422
0.9983,21,16.517568
0.9985,21,16.530802
0.9982,21,16.544012
0.9984,21,16.557396
-0.002,20,16.570643
-0.002,20,16.583664
-0.002,20,16.596917
-0.002,20,16.611056
0.9985,21,16.624663
0.9985,21,16.638512
0.9985,21,16.651813
